case_id,geometry_id,family,direction,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy
BASE-L160-S809-X,BASE-L160-S809,BASELINE,X,0.44964892578125,0.449560791015625,0.449560791015625,0.449560791015625,0.154310546875,1.0,2.8284271247461903,6.164414002968976,-355,0.44564217869689804,0.2402343007613325,0.21951006978603688,0.4093021305743611,0.9675049335588525
BASE-L24-S1009-X,BASE-L24-S1009,BASELINE,X,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.20572916666666666,1.0,2.0,3.605551275463989,1,1.4245758473646906,0.6661151380197925,0.5119097962201078,0.7991734032506527,0.7065537384910364
BASE-L24-S101-X,BASE-L24-S101,BASELINE,X,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.19039351851851852,1.0,2.23606797749979,4.242640687119285,1,1.412469646714383,0.6633841773132335,0.5156759815474508,0.7933856979616059,0.7053282635303915
BASE-L24-S1103-X,BASE-L24-S1103,BASELINE,X,0.39641203703703703,0.39641203703703703,0.39641203703703703,0.39641203703703703,0.2037037037037037,1.0,2.0,3.605551275463989,-1,1.309308668023004,0.6399542873932429,0.41110223776070565,0.7703018835463539,0.7216624795661303
BASE-L24-S1201-X,BASE-L24-S1201,BASELINE,X,0.3697916666666667,0.3697916666666667,0.3697916666666667,0.3697916666666667,0.20052083333333334,1.0,2.0,3.605551275463989,-2,1.2470604253327986,0.621576536007916,0.4234130557729473,0.7121648270366738,0.7469899842486774
BASE-L24-S1301-X,BASE-L24-S1301,BASELINE,X,0.4156539351851852,0.4156539351851852,0.4156539351851852,0.4156539351851852,0.1947337962962963,1.0,2.23606797749979,4.242640687119285,1,1.4956318618104105,0.6700606739915019,0.49439347689206536,0.8661583451673472,0.6742355794177064
BASE-L24-S1409-X,BASE-L24-S1409,BASELINE,X,0.37962962962962965,0.37962962962962965,0.37962962962962965,0.37962962962962965,0.2126736111111111,1.0,1.7320508075688772,3.360867837790133,-1,1.2937050820087088,0.6328452930129018,0.47249369820589326,0.723991210727518,0.7408692604683978
BASE-L24-S1601-X,BASE-L24-S1601,BASELINE,X,0.30671296296296297,0.30671296296296297,0.30671296296296297,0.30671296296296297,0.18055555555555555,1.0,1.7320508075688772,3.3166247903554,2,1.9729721277651362,0.7789360044110348,0.7334688877305489,0.9059036183959679,0.5487259845774154
BASE-L24-S1709-X,BASE-L24-S1709,BASELINE,X,0.42086226851851855,0.42086226851851855,0.42086226851851855,0.42086226851851855,0.1902488425925926,1.0,2.23606797749979,4.242640687119285,1,1.271605484855081,0.6310712068208308,0.4211441706340331,0.7363113007037951,0.7358205203173731
BASE-L24-S1801-X,BASE-L24-S1801,BASELINE,X,0.32913773148148145,0.32913773148148145,0.32913773148148145,0.32913773148148145,0.1824363425925926,1.0,2.0,3.605551275463989,1,1.1704612767435307,0.6061771226753845,0.36964477090122017,0.6788132742954452,0.7339306446888013
